iter	Passed	Remaining
0	133	133556
1	151	75771
2	169	56171
3	186	46500
4	206	41003
5	217	36075
6	229	32502
7	238	29539
8	248	27311
9	257	25504
10	266	23933
11	275	22674
12	284	21636
13	293	20690
14	303	19944
15	312	19234
16	321	18599
17	331	18082
18	340	17593
19	349	17143
20	358	16727
21	367	16354
22	377	16050
23	387	15772
24	399	15585
25	410	15379
26	420	15160
27	432	15001
28	449	15038
29	463	14982
30	473	14813
31	483	14626
32	494	14499
33	504	14334
34	513	14158
35	522	13982
36	530	13809
37	543	13748
38	557	13748
39	571	13720
40	581	13605
41	590	13479
42	603	13420
43	612	13304
44	621	13198
45	629	13056
46	638	12941
47	647	12848
48	656	12744
49	665	12648
50	674	12545
51	684	12469
52	692	12375
53	702	12305
54	711	12217
55	721	12160
56	730	12082
57	738	11998
58	747	11918
59	756	11844
60	764	11770
61	772	11693
62	781	11616
63	789	11550
64	799	11504
65	808	11440
66	817	11389
67	826	11322
68	834	11254
69	842	11191
70	851	11143
71	859	11083
72	867	11020
73	876	10966
74	885	10926
75	895	10887
76	908	10893
77	921	10895
78	933	10878
79	941	10830
80	951	10796
81	961	10764
82	970	10726
83	979	10677
84	988	10638
85	996	10592
86	1005	10549
87	1015	10520
88	1024	10483
89	1033	10449
90	1042	10414
91	1052	10388
92	1064	10379
93	1075	10361
94	1085	10339
95	1094	10305
96	1104	10283
97	1113	10250
98	1123	10224
99	1132	10194
100	1142	10165
101	1151	10139
102	1161	10118
103	1172	10104
104	1182	10083
105	1193	10068
106	1203	10041
107	1213	10025
108	1223	10001
109	1235	9995
110	1245	9972
111	1255	9951
112	1266	9940
113	1276	9922
114	1288	9913
115	1297	9888
116	1307	9870
117	1316	9840
118	1328	9833
119	1337	9806
120	1347	9787
121	1358	9775
122	1373	9790
123	1385	9785
124	1400	9805
125	1413	9807
126	1426	9809
127	1441	9818
128	1453	9810
129	1465	9808
130	1477	9801
131	1488	9785
132	1499	9775
133	1510	9761
134	1522	9755
135	1533	9741
136	1543	9719
137	1553	9702
138	1562	9680
139	1573	9667
140	1583	9644
141	1595	9642
142	1605	9619
143	1614	9597
144	1624	9576
145	1635	9565
146	1648	9564
147	1659	9550
148	1669	9535
149	1678	9511
150	1686	9481
151	1694	9452
152	1703	9430
153	1712	9409
154	1721	9385
155	1731	9368
156	1740	9347
157	1751	9334
158	1760	9312
159	1770	9293
160	1780	9280
161	1790	9263
162	1799	9242
163	1809	9224
164	1819	9205
165	1829	9191
166	1839	9177
167	1851	9168
168	1862	9160
169	1874	9154
170	1886	9144
171	1895	9124
172	1906	9111
173	1916	9097
174	1926	9082
175	1936	9065
176	1946	9048
177	1957	9038
178	1966	9021
179	1976	9005
180	1987	8992
181	1996	8973
182	2005	8955
183	2014	8935
184	2023	8915
185	2032	8893
186	2040	8872
187	2049	8852
188	2058	8832
189	2067	8812
190	2075	8791
191	2085	8775
192	2094	8759
193	2104	8742
194	2116	8735
195	2127	8725
196	2136	8708
197	2146	8693
198	2155	8677
199	2165	8661
200	2175	8648
201	2185	8632
202	2194	8616
203	2203	8599
204	2212	8581
205	2221	8563
206	2230	8543
207	2238	8524
208	2246	8502
209	2255	8485
210	2264	8468
211	2277	8466
212	2287	8450
213	2299	8445
214	2309	8430
215	2317	8412
216	2327	8397
217	2336	8380
218	2348	8374
219	2358	8360
220	2370	8354
221	2379	8340
222	2388	8321
223	2397	8305
224	2406	8290
225	2416	8275
226	2425	8258
227	2433	8240
228	2442	8223
229	2455	8221
230	2465	8209
231	2475	8193
232	2483	8175
233	2491	8156
234	2500	8141
235	2509	8122
236	2517	8104
237	2526	8088
238	2534	8070
239	2543	8055
240	2552	8038
241	2561	8023
242	2571	8010
243	2582	8001
244	2592	7989
245	2602	7977
246	2620	7987
247	2633	7986
248	2644	7975
249	2654	7964
250	2665	7953
251	2675	7941
252	2684	7925
253	2694	7912
254	2707	7909
255	2717	7898
256	2727	7884
257	2736	7869
258	2745	7856
259	2754	7839
260	2764	7828
261	2775	7817
262	2785	7806
263	2795	7792
264	2803	7776
265	2812	7760
266	2820	7742
267	2828	7725
268	2836	7708
269	2844	7691
270	2853	7676
271	2861	7657
272	2869	7640
273	2878	7626
274	2887	7612
275	2895	7596
276	2903	7578
277	2911	7562
278	2920	7546
279	2928	7530
280	2937	7516
281	2945	7500
282	2953	7483
283	2962	7468
284	2970	7452
285	2979	7437
286	2987	7422
287	2996	7406
288	3004	7391
289	3012	7374
290	3020	7358
291	3028	7342
292	3036	7327
293	3044	7310
294	3052	7296
295	3068	7297
296	3083	7299
297	3096	7293
298	3105	7280
299	3120	7282
300	3138	7288
301	3150	7282
302	3162	7275
303	3173	7265
304	3181	7250
305	3189	7233
306	3198	7220
307	3208	7207
308	3217	7194
309	3227	7183
310	3236	7169
311	3245	7157
312	3256	7148
313	3267	7138
314	3275	7123
315	3285	7111
316	3294	7098
317	3303	7084
318	3312	7071
319	3321	7058
320	3331	7045
321	3340	7032
322	3349	7020
323	3357	7005
324	3367	6993
325	3375	6979
326	3384	6966
327	3394	6955
328	3405	6946
329	3416	6935
330	3424	6921
331	3434	6910
332	3443	6896
333	3452	6884
334	3460	6870
335	3470	6858
336	3479	6846
337	3488	6832
338	3499	6823
339	3510	6815
340	3522	6807
341	3533	6797
342	3542	6785
343	3552	6773
344	3564	6768
345	3576	6759
346	3587	6751
347	3602	6748
348	3616	6746
349	3632	6745
350	3646	6742
351	3668	6753
352	3685	6754
353	3706	6764
354	3727	6772
355	3749	6782
356	3760	6772
357	3770	6762
358	3781	6751
359	3792	6741
360	3803	6732
361	3813	6720
362	3823	6708
363	3833	6698
364	3843	6686
365	3854	6676
366	3864	6665
367	3874	6653
